highway_n,osmid_n,ref_n,geometry_n
traffic_signals,1376387971,,POINT (-117.1376003 32.775951)
,49152899,,POINT (-117.127159 32.745594)
,49415043,,POINT (-117.1305639 32.714809)
,49152902,,POINT (-117.126099 32.74559)
,49415046,,POINT (-117.1271224 32.7148344)
,49087361,,POINT (-117.061203 32.759491)
,49742721,,POINT (-117.045387 32.583691)
,49611651,,POINT (-117.2097351 32.7421974)
,49152909,,POINT (-117.122864 32.745594)
traffic_signals,1376387982,,POINT (-117.1453265 32.7744068)
traffic_signals,1376387986,,POINT (-117.1298328 32.7798827)
,1376387989,,POINT (-117.1466244 32.7741188)
traffic_signals,1376387992,,POINT (-117.1410645 32.775588)
,49152920,,POINT (-117.120934 32.745483)
traffic_signals,1376387995,,POINT (-117.1412419 32.7755524)
,49087390,,POINT (-117.191116 32.687374)
,49087393,,POINT (-117.190262 32.687019)
stop,1376388002,,POINT (-117.1323601 32.7773924)
traffic_signals,49415074,,POINT (-117.0730758 32.6470321)
,49087394,,POINT (-117.189598 32.686733)
,49087395,,POINT (-117.187119 32.685627)
,49087396,,POINT (-117.184486 32.684204)
,49152935,,POINT (-117.119328 32.7467378)
,49087397,,POINT (-117.183113 32.683456)
,49415081,,POINT (-117.079193 32.645309)
,49087399,,POINT (-117.1811015 32.6823961)
,49087402,,POINT (-117.1801811 32.6823557)
,49677230,,POINT (-117.101593 32.71693)
,49152946,,POINT (-117.084343 32.745949)
,49415095,,POINT (-117.083282 32.644161)
,49152953,,POINT (-117.141144 32.745605)
,49152955,,POINT (-117.140053 32.745605)
,49087419,,POINT (-117.1322594 32.5755957)
,49152957,,POINT (-117.138977 32.745605)
,49415102,,POINT (-117.086342 32.643303)
,49152959,,POINT (-117.137901 32.745605)
,49152962,,POINT (-117.0880251 32.7461754)
,49415107,,POINT (-117.089394 32.642467)
,49742787,,POINT (-117.038696 32.780235)
,49415109,,POINT (-117.091423 32.641891)
,49152967,,POINT (-117.133621 32.745281)
,49415112,,POINT (-117.09288 32.641479)
,49152968,,POINT (-117.132797 32.745277)
,49152970,,POINT (-117.131882 32.745277)
,49152972,,POINT (-117.1309811 32.7452781)
,49742796,,POINT (-117.07737 32.614395)
,49152974,,POINT (-117.129204 32.74527)
,2802516943,,POINT (-117.1734192 32.7158152)
,1256326096,,POINT (-117.0364249 32.6791306)
,1256326097,,POINT (-117.037037 32.6774926)
,49742803,,POINT (-117.080063 32.613415)
,49152981,,POINT (-117.095757 32.745888)
,49021909,,POINT (-117.105057 32.579082)
,49152983,,POINT (-117.095543 32.745884)
,49152984,,POINT (-117.09494 32.74588)
,49284057,,POINT (-117.011581 32.791744)
,49021910,,POINT (-117.10508 32.577499)
,49152987,,POINT (-117.09446 32.745876)
,49152988,,POINT (-117.094131 32.745872)
turning_circle,49611735,,POINT (-117.09362 32.572128)
turning_circle,49742808,,POINT (-117.023514 32.578407)
,49152992,,POINT (-117.093399 32.745865)
,49152994,,POINT (-117.093147 32.745865)
,49021924,,POINT (-117.009193 32.761253)
,49152998,,POINT (-117.092323 32.745857)
,49284074,,POINT (-117.012657 32.795212)
,49087471,,POINT (-116.9645 32.766628)
,49087473,,POINT (-116.964333 32.766674)
,49087475,,POINT (-116.964287 32.769768)
,49349620,,POINT (-117.188499 32.766438)
turning_circle,49349619,,POINT (-117.188393 32.766048)
,49349622,,POINT (-117.189018 32.768089)
,49349624,,POINT (-117.189018 32.768852)
,49677307,,POINT (-117.093567 32.716759)
,49415166,,POINT (-117.145844 32.714725)
,49284099,,POINT (-117.060799 32.703259)
turning_circle,49153028,,POINT (-117.078392 32.725574)
,49284101,,POINT (-117.060799 32.702316)
,49087491,,POINT (-116.9855018 32.7907824)
,49153031,,POINT (-117.077438 32.725609)
turning_circle,49153032,,POINT (-117.076874 32.725594)
,49284104,,POINT (-117.060799 32.701344)
,1256326154,,POINT (-117.0373364 32.6777409)
,49153034,,POINT (-116.96138 32.728294)
,49415177,,POINT (-117.138191 32.714771)
,49087497,,POINT (-116.9819207 32.7921053)
,48956427,,POINT (-117.169532 32.6921868)
,48956428,,POINT (-117.1703073 32.6907943)
,49153040,,POINT (-116.960876 32.725163)
,49087502,,POINT (-116.983009 32.791931)
,49087503,,POINT (-116.98407 32.791439)
,48956431,,POINT (-117.005699 32.738705)
,48956432,,POINT (-117.005241 32.738725)
,48956444,,POINT (-117.0805687 32.67558)
,48956445,,POINT (-117.080437 32.675617)
,49415198,,POINT (-116.9531676 32.7462486)
,48956446,,POINT (-117.076736 32.684319)
,49480733,,POINT (-117.1660852 32.7344831)
,48956448,,POINT (-117.071823 32.683369)
,2802517022,,POINT (-117.1719244 32.7188245)
,49480741,,POINT (-117.173872 32.732485)
,5151261738,,POINT (-117.1147433 32.7192634)
,5151261739,,POINT (-117.1151 32.7192634)
,49415212,,POINT (-116.953796 32.746941)
,5151261740,,POINT (-117.1151 32.7193958)
,49415220,,POINT (-116.954323 32.748024)
,2481718332,,POINT (-117.147779 32.7905458)
,49415229,,POINT (-116.955727 32.749203)
,49146519,,POINT (-117.236633 32.782764)
,49153099,,POINT (-117.032623 32.675896)
,275973197,,POINT (-117.146551 32.7197372)
,2939880526,,POINT (-117.0259535 32.6678885)
,49415263,,POINT (-117.112267 32.651772)
,49087597,,POINT (-117.114403 32.570671)
turning_circle,49087598,,POINT (-117.113213 32.570675)
motorway_junction,276300917,1A,POINT (-117.0434587 32.550539)
,49218678,,POINT (-116.995064 32.705975)
,49218680,,POINT (-116.995003 32.707848)
,3587900541,,POINT (-117.0405562 32.7504253)
,49218685,,POINT (-116.994911 32.711567)
,3587900543,,POINT (-117.040734 32.7506699)
,49218687,,POINT (-116.994873 32.713451)
,49218689,,POINT (-116.994843 32.71489)
