class,nodes,distance
1,49054814,2085.069
1,49054815,2050.182
1,49054817,2002.416
1,49054829,1865.537
1,49054839,1743.182
1,49054846,1625.563
1,49054847,1723.009
1,49054848,1973.941
1,49054849,1841.513
1,49054855,2258.365
1,49710232,2038.218
1,49382991,3472.151
1,49120858,3000.651
1,49120859,2797.533
1,49120861,2258.209
1,49120860,2399.594
1,49120864,2151.849
1,49383135,3145.261
1,49776473,1921.082
1,823757166,2246.125
1,49449465,1251.438
1,49515095,3574.447
1,49515098,3475.993
1,49515100,3305.915
1,49515108,2984.235
1,49515117,2544.412
1,49056514,3578.546
1,49056527,3247.094
1,49646346,2497.054
1,49646354,2731.938
1,49056534,3471.178
1,48860103,1876.9
1,48860104,1871.286
1,48860105,2399.138
1,49319230,3404.91
1,49778244,1455.827
1,5136158293,2471.407
1,5136158296,2448.566
1,49123143,2977.806
1,49123144,2876.276
1,49123145,2616.501
1,49123149,2330.797
1,49123152,2247.044
1,49123158,2034.662
1,49123159,2093.839
1,49123166,2684.608
1,49123167,2581.665
1,49123169,2403.231
1,49123172,2340.485
1,49123177,2747.716
1,49123187,3093.902
1,49123190,3223.681
1,49123191,3282.518
1,4619276312,3547.625
1,4619276313,3364.623
1,49451149,2592.633
1,49320444,2252.659
1,4343304781,2722.263
1,49779346,2531.753
1,49583024,2836.228
1,49320911,2383.427
1,49320914,2468.876
1,49320936,2625.648
1,49320960,3048.405
1,49320965,3092.238
1,49114780,2577.085
1,49114781,2382.912
1,49124782,2328.452
1,4342978447,1440.22
1,4342978449,1367.949
1,4342978451,1280.615
1,4342978455,1139.446
1,4342978458,1216.039
1,4342978461,1324.36
1,4342978462,1380.457
1,4342978463,1471.396
1,4342978464,1567.762
1,4342978466,1637.395
1,4342978469,1689.045
1,49453096,2494.874
1,2138479312,2169.515
1,2138479317,2147.518
1,2138479321,2142.636
1,2138479340,2171.222
1,49519340,892.136
1,2138479351,2295.386
1,2138479368,2306.708
1,49257252,1771.457
1,2138479441,2091.273
1,3329399672,2203.005
1,4343307690,2767.812
1,49127051,2356.23
1,3298795372,2643.486
1,49258383,3578.833
1,49061809,3218.905
1,49061810,3271.709
1,49061811,3312.661
1,49390330,3557.172
1,49193876,2702.335
1,49193879,2708.902
1,49193921,3548.614
1,49193923,3340.779
1,49193924,3138.177
1,49193927,2667.586
1,49391172,2188.485
